


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
83,01-01-2006 12:58,051225,301,AMD_01,301,GeoChem,DualSoil, 60.0,Pure Lead, 0.0,,0.0,,0.0,,,< LOD,  1.4749,< LOD,  0.2764, 41.4007,  0.5932,  0.4166,  0.0576,  0.2756,  0.0979,  0.1262,  0.0576,  0.0143,  0.0112,  0.7947,  0.0269,  0.0366,  0.0059,< LOD,  0.0027,< LOD,  0.0030,< LOD,  0.0046,  0.1753,  0.0087,  0.0037,  0.0021,  0.0321,  0.0156,  3.1484,  0.0585,  0.1348,  0.0162,  0.6525,  0.0716,  0.0416,  0.0103,< LOD,  0.0058,  0.1198,  0.0077,< LOD,  0.0132,  0.0347,  0.0039,< LOD,  0.0042,< LOD,  0.0041,,,,,,,  0.1111,  0.0132,  0.1361,  0.0145,,,< LOD,  0.0170,  5.2090,  0.0653,,,< LOD,  0.0989,< LOD,  0.1203,< LOD,  0.0177,< LOD,  0.0179,  0.3106,  0.0408,< LOD,  0.0163,,,,,,,< LOD,  0.0040,< LOD,  0.0191,  0.0249,  0.0099,  0.0598,  0.0156, 41.0236,  0.2000,< LOD,  0.0484,< LOD,  0.0138,< LOD,  0.0277,Passed
84,01-01-2006 13:03,051225,302,AMD_01,302,GeoChem,DualSoil, 60.0,CuNi25Zn15, 0.0,CuAl11Fe5Ni6, 0.0,CuAl10Fe5Ni5, 0.0,,,< LOD,  3.0684,  0.9658,  0.3517,  6.5329,  0.2306,  0.5940,  0.0807, 30.7952,  0.2142,< LOD,  0.0456,  0.0417,  0.0119,  3.8108,  0.0441,  0.1224,  0.0101,< LOD,  0.0044,< LOD,  0.0051,  0.0511,  0.0079, 23.6560,  0.1334,< LOD,  0.0197,  0.0332,  0.0242, 30.6300,  0.1582,< LOD,  0.0122,  0.0284,  0.0027,< LOD,  0.0021,< LOD,  0.0025,< LOD,  0.0031,< LOD,  0.0034,  0.0147,  0.0025,< LOD,  0.0046,< LOD,  0.0033,,,< LOD,  0.0009,< LOD,  0.0016,< LOD,  0.0025,< LOD,  0.0092,,,< LOD,  0.0107,< LOD,  0.0189,,,< LOD,  0.0673,< LOD,  0.0935,< LOD,  0.0299,< LOD,  0.0318,< LOD,  0.0042,< LOD,  0.0053,,,,,,,< LOD,  0.0011,< LOD,  0.0062,< LOD,  0.0044,< LOD,  0.0030,  0.0197,  0.0095,< LOD,  0.0084,  0.0165,  0.0113,< LOD,  0.0228,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
85,01-01-2006 13:06,051225,303,AMD_01,303,GeoChem,DualSoil, 60.0,No Match, 0.0,,0.0,,0.0,,, 23.5094,  4.6286,< LOD,  0.3003,  2.0952,  0.1817,  0.4269,  0.0690, 11.0427,  0.1136,< LOD,  0.0558,  0.1201,  0.0130,  2.5104,  0.0351,  0.0517,  0.0081,< LOD,  0.0052,< LOD,  0.0042,  0.0520,  0.0085,  1.3176,  0.0285, 21.3552,  0.1123, 13.2651,  0.2125,  0.8390,  0.0388,  0.0521,  0.0177, 40.7417,  0.1318,  0.1415,  0.0125,< LOD,  0.0046,< LOD,  0.0057,< LOD,  0.0058,  0.0064,  0.0037,< LOD,  0.0087,  0.1602,  0.0104,,,< LOD,  0.0011,  0.0483,  0.0024,  0.0862,  0.0174,< LOD,  0.0171,,,< LOD,  0.0169,< LOD,  0.0251,,,< LOD,  0.1324,< LOD,  0.2186,< LOD,  0.0077,< LOD,  0.0170,  0.0954,  0.0245,,,,,,,< LOD,  0.0028,< LOD,  0.0288,  0.0727,  0.0126,< LOD,  0.0227,< LOD,  0.0173,< LOD,  0.0159,< LOD,  0.0179,< LOD,  0.0443,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
86,01-01-2006 13:11,051225,304,AMD_01,304,GeoChem,DualSoil, 60.0,No Match, 0.0,,0.0,,0.0,,, 15.6647,  3.5390,< LOD,  0.2799,  0.4341,  0.1528,  0.1653,  0.0669,  9.4539,  0.1070,< LOD,  0.0374,  0.0930,  0.0126, 10.7629,  0.0692,  0.0694,  0.0082,< LOD,  0.0050,< LOD,  0.0037,  0.1145,  0.0113,  0.9282,  0.0251, 18.9432,  0.1059,  8.3118,  0.1494,  0.3657,  0.0280,  0.0413,  0.0128, 27.8727,  0.0958,  0.1018,  0.0096,< LOD,  0.0038,  0.0114,  0.0048,< LOD,  0.0044,< LOD,  0.0029,< LOD,  0.0072,  0.0946,  0.0077,,,< LOD,  0.0010,  0.0359,  0.0021,  0.0445,  0.0136,< LOD,  0.0141,,,< LOD,  0.0165,< LOD,  0.0198,,,< LOD,  0.1060,< LOD,  0.1745,  0.1199,  0.0335,< LOD,  0.0063,< LOD,  0.0135,  0.0577,  0.0188,,,,,,,< LOD,  0.0026,< LOD,  0.0221,  0.0681,  0.0091,< LOD,  0.0163,< LOD,  0.0160,< LOD,  0.0130,< LOD,  0.0151,< LOD,  0.0359,Passed
87,01-01-2006 13:16,051225,305,AMD_01,305,GeoChem,DualSoil, 60.0,Rg2, 0.0,Rg5, 0.0,Rg7, 0.0,,, 12.8985,  4.7856,< LOD,  0.2421,  6.4820,  0.2384,  0.5377,  0.0790, 24.6521,  0.1779,< LOD,  0.0644,< LOD,  0.0110,< LOD,  0.0195,  0.0305,  0.0068,< LOD,  0.0036,< LOD,  0.0032,  0.0433,  0.0063,  1.9497,  0.0379,< LOD,  0.0083,  0.1253,  0.0302, 78.5689,  0.2670,  4.8072,  0.0752,  9.6822,  0.0573,  0.0406,  0.0075,< LOD,  0.0035,  0.0580,  0.0058,< LOD,  0.0046,  0.0079,  0.0028,  0.0092,  0.0055,< LOD,  0.0053,,,< LOD,  0.0011,,,  0.1214,  0.0140,  0.0134,  0.0127,,,< LOD,  0.0192,  3.5501,  0.0603,,,< LOD,  0.0791,< LOD,  0.1479,< LOD,  0.0263,< LOD,  0.0545,< LOD,  0.0136,< LOD,  0.0244,,,,,,,< LOD,  0.0044,< LOD,  0.0272,< LOD,  0.0164,< LOD,  0.0247,  0.9168,  0.0419,< LOD,  0.0135,  0.1918,  0.0207,< LOD,  0.0289,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
88,01-01-2006 13:18,051225,306,AMD_01,306,GeoChem,DualSoil, 62.0,No Match, 0.0,,0.0,,0.0,,,  1.5737,  1.0472,< LOD,  0.2700, 76.4772,  0.8289,  0.0571,  0.0421,  3.5063,  0.0548,< LOD,  0.0228,< LOD,  0.0081,  0.1656,  0.0121,  0.0050,  0.0038,  0.0010,  0.0009,< LOD,  0.0023,  0.0077,  0.0048,  0.4989,  0.0141,< LOD,  0.0000,< LOD,  0.0024,  2.6580,  0.0214,  1.4417,  0.0151,  0.3394,  0.0051,< LOD,  0.0007,< LOD,  0.0007,  0.0014,  0.0009,< LOD,  0.0009,< LOD,  0.0006,< LOD,  0.0005,< LOD,  0.0012,,,< LOD,  0.0016,< LOD,  0.0027,  0.0246,  0.0027,  0.0057,  0.0026,,,< LOD,  0.0065,  0.3575,  0.0073,,,< LOD,  0.0263,< LOD,  0.0389,< LOD,  0.0211,< LOD,  0.0029,< LOD,  0.0041,,,,,,,< LOD,  0.0046,< LOD,  0.0045,< LOD,  0.0015,< LOD,  0.0016,  0.0554,  0.0036,< LOD,  0.0025,< LOD,  0.0031,< LOD,  0.0060,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
89,01-01-2006 13:21,051225,307,AMD_01,307,GeoChem,DualSoil, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  2.0048,< LOD,  0.3007, 49.8406,  0.6465,  0.2652,  0.0663, 12.2744,  0.1175,< LOD,  0.0300,  0.0589,  0.0103,  0.2045,  0.0135,  0.0126,  0.0051,< LOD,  0.0023,< LOD,  0.0031,  0.0068,  0.0049,  3.3141,  0.0393,< LOD,  0.0041,< LOD,  0.0058,  3.2494,  0.0322, 12.3492,  0.0604,  0.6716,  0.0110,< LOD,  0.0014,< LOD,  0.0012,  0.0648,  0.0027,< LOD,  0.0017,  0.0061,  0.0011,< LOD,  0.0012,< LOD,  0.0016,,,< LOD,  0.0013,< LOD,  0.0021,  0.0371,  0.0043,  0.0358,  0.0049,,,< LOD,  0.0088,  0.2460,  0.0097,,,< LOD,  0.0413,< LOD,  0.0674,< LOD,  0.0151,< LOD,  0.0191,< LOD,  0.0110,< LOD,  0.0198,,,,,,,< LOD,  0.0118,  0.1163,  0.0216,< LOD,  0.0032,< LOD,  0.0035,  0.4020,  0.0121,< LOD,  0.0048,< LOD,  0.0050,< LOD,  0.0103,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
90,01-01-2006 13:24,051225,308,AMD_01,308,GeoChem,DualSoil, 60.0,No Match, 0.0,,0.0,,0.0,,,  2.2192,  0.9037,< LOD,  0.2575, 77.9026,  0.8554,  0.1197,  0.0367,  2.1414,  0.0436,  0.0502,  0.0223,  0.0770,  0.0088,  0.0390,  0.0083,  0.0085,  0.0035,  0.0023,  0.0008,< LOD,  0.0022,< LOD,  0.0041,  1.0696,  0.0196,  0.0000,  0.0000,< LOD,  0.0015,  0.0441,  0.0026,  0.0047,  0.0011,  0.0272,  0.0019,< LOD,  0.0006,< LOD,  0.0006,< LOD,  0.0010,< LOD,  0.0008,< LOD,  0.0005,< LOD,  0.0005,< LOD,  0.0011,,,< LOD,  0.0016,,,< LOD,  0.0020,< LOD,  0.0023,,,< LOD,  0.0065,  0.0105,  0.0034,,,< LOD,  0.0203,< LOD,  0.0250,< LOD,  0.0045,< LOD,  0.0015,< LOD,  0.0018,,,,,,,< LOD,  0.0013,  0.0223,  0.0023,< LOD,  0.0009,< LOD,  0.0008,  0.0605,  0.0032,< LOD,  0.0022,< LOD,  0.0027,< LOD,  0.0056,Passed
91,01-01-2006 13:27,051225,309,AMD_01,309,GeoChem,DualSoil, 60.0,No Match, 0.0,,0.0,,0.0,,,  2.3230,  1.9127,  1.9876,  0.3204, 42.7951,  0.5903,  1.2626,  0.0729,  6.3469,  0.0924,  0.0247,  0.0239,  0.0473,  0.0087,  0.0655,  0.0100,< LOD,  0.0046,  0.0034,  0.0026,< LOD,  0.0030,< LOD,  0.0048,  2.6759,  0.0337,< LOD,  0.0042,< LOD,  0.0056,  4.5462,  0.0390,  0.0443,  0.0060,  1.3935,  0.0196,  0.0108,  0.0025,< LOD,  0.0016,  0.0185,  0.0021,< LOD,  0.0031,  0.0052,  0.0012,< LOD,  0.0016,< LOD,  0.0017,,,< LOD,  0.0013,,,< LOD,  0.0039,< LOD,  0.0045,,,< LOD,  0.0116,  0.0620,  0.0074,,,< LOD,  0.0338,< LOD,  0.0487,< LOD,  0.0218,  0.0232,  0.0091,< LOD,  0.0044,,,,,,,< LOD,  0.0026,< LOD,  0.0050,  0.0106,  0.0028,  0.0156,  0.0040,  5.0892,  0.0416,< LOD,  0.0103,< LOD,  0.0055,< LOD,  0.0104,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
92,01-01-2006 13:30,051225,310,AMD_01,310,GeoChem,DualSoil, 60.0,No Match, 0.0,,0.0,,0.0,,, 69.4660,  5.7673,  1.4347,  0.3507,  1.5662,  0.1625,< LOD,  0.0290,  0.2412,  0.0156,< LOD,  0.0849,  0.0210,  0.0100,  0.6234,  0.0190,< LOD,  0.0076,< LOD,  0.0042,< LOD,  0.0043,  0.0246,  0.0081, 12.3396,  0.0735,  0.5306,  0.0221,  0.2993,  0.0866,  2.6037,  0.0903,  0.8356,  0.0559,100.0000,  0.3006,  0.3705,  0.0266,< LOD,  0.0075,< LOD,  0.0079,< LOD,  0.0089,< LOD,  0.0060,< LOD,  0.0121,  0.0391,  0.0113,,,< LOD,  0.0010,  0.1122,  0.0036,  0.2583,  0.0235,< LOD,  0.0383,,,< LOD,  0.0184,  1.0249,  0.0660,,,< LOD,  0.2081,< LOD,  0.4001,< LOD,  0.0326,< LOD,  0.0106,< LOD,  0.0628,< LOD,  0.0550,,,,,,,< LOD,  0.0041,  0.2803,  0.0641,< LOD,  0.0192,< LOD,  0.0349,  0.1160,  0.0310,  0.0535,  0.0297,< LOD,  0.0282,  0.1623,  0.0750,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
93,01-01-2006 13:34,051225,311,AMD_01,311,GeoChem,DualSoil, 60.0,AS41, 0.0,AM60, 0.0,AZ91, 0.0,,, 49.9093,  4.0877,  1.7682,  0.3584, 40.0831,  0.6055,< LOD,  0.0371,  0.0292,  0.0105,< LOD,  0.0417,  0.4598,  0.0168,  1.7351,  0.0260,  0.1324,  0.0074,< LOD,  0.0033,  0.0063,  0.0035,  0.0637,  0.0093,  0.8002,  0.0196,  0.0343,  0.0039,  0.4011,  0.0198,  0.0619,  0.0076,  0.0465,  0.0069, 27.6125,  0.0705,  0.0607,  0.0042,  0.0020,  0.0017,  0.0054,  0.0021,< LOD,  0.0020,  0.0040,  0.0014,< LOD,  0.0022,  0.0271,  0.0028,,,< LOD,  0.0014,  0.1312,  0.0042,  0.0566,  0.0064,< LOD,  0.0076,,,< LOD,  0.0148,  0.3103,  0.0132,,,< LOD,  0.0389,< LOD,  0.0839,  0.0157,  0.0096,< LOD,  0.0061,< LOD,  0.0085,,,,,,,< LOD,  0.0036,  0.0236,  0.0100,< LOD,  0.0073,< LOD,  0.0122,  0.0753,  0.0082,< LOD,  0.0058,< LOD,  0.0066,< LOD,  0.0146,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
94,01-01-2006 13:37,051225,312,AMD_01,312,GeoChem,DualSoil, 60.0,CP Mg, 0.0,AZ31, 0.0,AS41, 0.0,,,100.0000,  7.7323,  0.7347,  0.2765,  0.7205,  0.1212,< LOD,  0.0258,< LOD,  0.0000,< LOD,  0.1244,< LOD,  0.0099,< LOD,  0.0145,  0.0393,  0.0077,< LOD,  0.0052,  0.0076,  0.0045,  0.0088,  0.0073,  0.2642,  0.0127,  0.0466,  0.0072,  1.8768,  0.1323,  0.5543,  0.0524,  0.2991,  0.0523,100.0000,  0.4240,  0.6500,  0.0403,< LOD,  0.0085,< LOD,  0.0099,< LOD,  0.0113,< LOD,  0.0071,< LOD,  0.0150,< LOD,  0.0131,,,< LOD,  0.0013,  0.3239,  0.0067,  1.0677,  0.0596,< LOD,  0.0347,,,< LOD,  0.0247,  3.9763,  0.1236,,,< LOD,  0.2431,< LOD,  0.4093,< LOD,  0.0382,  0.0133,  0.0129,< LOD,  0.0572,< LOD,  0.0812,,,,,,,< LOD,  0.0057,  0.3984,  0.0955,< LOD,  0.0374,< LOD,  0.0626,  0.9832,  0.0768,< LOD,  0.0335,< LOD,  0.0317,< LOD,  0.0735,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
95,01-01-2006 13:40,051225,313,AMD_01,313,GeoChem,DualSoil, 60.0,AZ31, 0.0,CP Mg, 0.0,AS41, 0.0,,,100.0000,  7.7468,  2.6942,  0.4239,  3.1810,  0.2030,< LOD,  0.0283,  0.0086,  0.0009,< LOD,  0.1831,  0.2796,  0.0148,  0.4623,  0.0166,  0.1294,  0.0087,< LOD,  0.0057,  0.0100,  0.0045,  0.0157,  0.0076,  0.6460,  0.0192,  0.0269,  0.0063,  0.3915,  0.1523,  0.8712,  0.1047,  0.6703,  0.1125,100.0000,  1.0162,  1.3539,  0.0905,< LOD,  0.0173,  0.0344,  0.0218,< LOD,  0.0222,< LOD,  0.0131,< LOD,  0.0317,< LOD,  0.0226,,,< LOD,  0.0012,  0.3419,  0.0069,  2.3982,  0.1293,< LOD,  0.0698,,,< LOD,  0.0218,  2.0903,  0.1595,,,< LOD,  0.5295,< LOD,  0.8433,  0.0187,  0.0131,< LOD,  0.1310,< LOD,  0.1845,,,,,,,< LOD,  0.0060,  0.7991,  0.2170,< LOD,  0.0658,< LOD,  0.1133,  0.1487,  0.0800,< LOD,  0.0644,< LOD,  0.0631,< LOD,  0.1454,Passed


File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,Be Err,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
